"year","sequence","rider_name","team_name","position"
2002,5,"Biaggi, Max","?",2
2002,5,"Ukawa, Tohru","?",3
2002,5,"Checa, Carlos","?",4
2002,5,"Barros, Alex","?",5
2002,5,"Capirossi, Loris","?",6
2002,5,"Abe, Norick","?",7
2002,5,"Laconi, Regis","?",8
2002,5,"Jacque, Olivier","?",9
2002,5,"Harada, Tetsuya","?",10
2002,5,"Nakano, Shinya","?",11
2002,5,"Hopkins, John","?",12
2002,5,"Bayle, Jean Michel","?",13
2002,5,"Vd Goorbergh, Jurgen","?",14
2002,6,"Rossi, Valentino","?",1
2002,6,"Ukawa, Tohru","?",2
2002,6,"Checa, Carlos","?",3
2002,6,"Biaggi, Max","?",4
2002,6,"Barros, Alex","?",5
2002,6,"Capirossi, Loris","?",6
2002,6,"Roberts Jr, Kenny","?",7
2002,6,"Kato, Daijiro","?",8
2002,6,"Jacque, Olivier","?",9
2002,6,"Hopkins, John","?",10
2002,6,"Ryo, Akira","?",11
2002,6,"Mcwilliams, Jeremy","?",12
2002,6,"Harada, Tetsuya","?",13
2002,6,"Laconi, Regis","?",14
2002,6,"Riba, Pere","?",15
2002,6,"Abe, Norick","?",16
2002,6,"Nakano, Shinya","?",-4
2002,7,"Rossi, Valentino","?",1
2002,7,"Barros, Alex","?",2
2002,7,"Checa, Carlos","?",3
2002,7,"Biaggi, Max","?",4
2002,7,"Ukawa, Tohru","?",5
2002,7,"Roberts Jr, Kenny","?",6
2002,7,"Hopkins, John","?",7
2002,7,"Nakano, Shinya","?",8
2002,7,"Abe, Norick","?",9
2002,7,"Vd Goorbergh, Jurgen","?",10
2002,7,"Hofmann, Alex","?",11
2002,7,"Kato, Daijiro","?",12
2002,7,"Harada, Tetsuya","?",13
2002,7,"Jacque, Olivier","?",14
2002,7,"Ryo, Akira","?",15
2002,8,"Rossi, Valentino","?",1
2002,8,"Biaggi, Max","?",2
2002,8,"Barros, Alex","?",3
2002,8,"Abe, Norick","?",4
2002,8,"Jacque, Olivier","?",5
2002,8,"Gibernau, Sete","?",6
2002,8,"Kato, Daijiro","?",7
2002,8,"Hopkins, John","?",8
2002,8,"Aoki, Nobuatsu","?",9
2002,8,"Nakano, Shinya","?",10
2002,8,"Harada, Tetsuya","?",11
2002,8,"Mccoy, Garry","?",12
2002,8,"Ryo, Akira","?",13
2002,8,"Roberts Jr, Kenny","?",14
2002,8,"Vd Goorbergh, Jurgen","?",15
2002,8,"Laconi, Regis","?",16
2002,8,"Hofmann, Alex","?",17
2002,9,"Rossi, Valentino","?",1
2002,9,"Biaggi, Max","?",2
2002,9,"Ukawa, Tohru","?",3
2002,9,"Checa, Carlos","?",4
2002,9,"Nakano, Shinya","?",5
2002,9,"Abe, Norick","?",6
2002,9,"Mcwilliams, Jeremy","?",7
2002,9,"Aoki, Nobuatsu","?",8
2002,9,"Mccoy, Garry","?",9
2002,9,"Hofmann, Alex","?",10
2002,9,"Ryo, Akira","?",11
2002,9,"Vd Goorbergh, Jurgen","?",12
2002,9,"Cardoso, Jose Luis","?",13
2002,10,"Biaggi, Max","?",1
2002,10,"Kato, Daijiro","?",2
2002,10,"Ukawa, Tohru","?",3
2002,10,"Gibernau, Sete","?",4
2002,10,"Checa, Carlos","?",5
2002,10,"Capirossi, Loris","?",6
2002,10,"Mcwilliams, Jeremy","?",7
2002,10,"Abe, Norick","?",8
2002,10,"Barros, Alex","?",9
2002,10,"Jacque, Olivier","?",10
2002,10,"Roberts Jr, Kenny","?",11
2002,10,"Vd Goorbergh, Jurgen","?",12
2002,10,"Mccoy, Garry","?",13
2002,10,"Ryo, Akira","?",14
2002,10,"Harada, Tetsuya","?",15
2002,10,"Laconi, Regis","?",16
2002,10,"Guintoli, Sylvain","?",17
2002,10,"Nakano, Shinya","?",-4
2002,11,"Rossi, Valentino","?",1
2002,11,"Checa, Carlos","?",2
2002,11,"Ukawa, Tohru","?",3
2002,11,"Roberts Jr, Kenny","?",4
2002,11,"Barros, Alex","?",5
2002,11,"Biaggi, Max","?",6
2002,11,"Abe, Norick","?",7
2002,11,"Hopkins, John","?",8
2002,11,"Mcwilliams, Jeremy","?",9
2002,11,"Harada, Tetsuya","?",10
2002,11,"Mccoy, Garry","?",11
2002,11,"Nakano, Shinya","?",12
2002,11,"Riba, Pere","?",-4
2002,12,"Rossi, Valentino","?",1
2002,12,"Biaggi, Max","?",2
2002,12,"Roberts Jr, Kenny","?",3
2002,12,"Barros, Alex","?",4
2002,12,"Capirossi, Loris","?",5
2002,12,"Abe, Norick","?",6
2002,12,"Jacque, Olivier","?",7
2002,12,"Gibernau, Sete","?",8
2002,12,"Vd Goorbergh, Jurgen","?",9
2002,12,"Mccoy, Garry","?",10
2002,12,"Cardoso, Jose Luis","?",11
2002,12,"Aoki, Nobuatsu","?",12
2002,12,"Harada, Tetsuya","?",13
2002,12,"Hopkins, John","?",14
2002,12,"Kato, Daijiro","?",-4
2002,13,"Barros, Alex","?",1
2002,13,"Rossi, Valentino","?",2
2002,13,"Capirossi, Loris","?",3
2002,13,"Ukawa, Tohru","?",4
2002,13,"Checa, Carlos","?",5
2002,13,"Roberts Jr, Kenny","?",6
2002,13,"Jacque, Olivier","?",7
2002,13,"Abe, Norick","?",8
2002,13,"Aoki, Nobuatsu","?",9
2002,13,"Mcwilliams, Jeremy","?",10
2002,13,"Laconi, Regis","?",11
2002,13,"Yoshikawa, Wataru","?",12
2002,13,"Vd Goorbergh, Jurgen","?",13
2002,13,"Hopkins, John","?",14
2002,13,"Harada, Tetsuya","?",15
2002,13,"Nakano, Shinya","?",16
2002,13,"Mccoy, Garry","?",17
2002,13,"Riba, Pere","?",-2
2002,14,"Biaggi, Max","?",1
2002,14,"Rossi, Valentino","?",2
2002,14,"Barros, Alex","?",3
2002,14,"Ukawa, Tohru","?",4
2002,14,"Kato, Daijiro","?",5
2002,14,"Nakano, Shinya","?",6
2002,14,"Checa, Carlos","?",7
2002,14,"Roberts Jr, Kenny","?",8
2002,14,"Capirossi, Loris","?",9
2002,14,"Abe, Norick","?",10
2002,14,"Ryo, Akira","?",11
2002,14,"Mcwilliams, Jeremy","?",12
2002,14,"Vd Goorbergh, Jurgen","?",13
2002,14,"Gibernau, Sete","?",14
2002,14,"Mccoy, Garry","?",15
2002,14,"Cardoso, Jose Luis","?",16
2002,14,"Laconi, Regis","?",17
2002,14,"Hopkins, John","?",18
2002,14,"Pitt, Andrew","?",19
2002,15,"Rossi, Valentino","?",1
2002,15,"Barros, Alex","?",2
2002,15,"Ukawa, Tohru","?",3
2002,15,"Kato, Daijiro","?",4
2002,15,"Vd Goorbergh, Jurgen","?",5
2002,15,"Biaggi, Max","?",6
2002,15,"Aoki, Nobuatsu","?",7
2002,15,"Jacque, Olivier","?",8
2002,15,"Roberts Jr, Kenny","?",9
2002,15,"Mcwilliams, Jeremy","?",10
2002,15,"Checa, Carlos","?",11
2002,15,"Gibernau, Sete","?",12
2002,15,"Nakano, Shinya","?",13
2002,15,"Harada, Tetsuya","?",14
2002,15,"Cardoso, Jose Luis","?",15
2002,15,"Hopkins, John","?",16
2002,15,"Pitt, Andrew","?",17
2002,15,"Mccoy, Garry","?",18
2002,16,"Barros, Alex","?",1
2002,16,"Rossi, Valentino","?",2
2002,16,"Biaggi, Max","?",3
2002,16,"Kato, Daijiro","?",4
2002,16,"Ukawa, Tohru","?",5
2002,16,"Nakano, Shinya","?",6
2002,16,"Vd Goorbergh, Jurgen","?",7
2002,16,"Mcwilliams, Jeremy","?",8
2002,16,"Jacque, Olivier","?",9
2002,16,"Abe, Norick","?",10
2002,16,"Hopkins, John","?",11
2002,16,"Pitt, Andrew","?",12
2002,16,"Gibernau, Sete","?",13
2002,16,"Harada, Tetsuya","?",14
2002,16,"Checa, Carlos","?",-4
2003,1,"Rossi, Valentino","?",1
2003,1,"Biaggi, Max","?",2
2003,1,"Capirossi, Loris","?",3
2003,1,"Gibernau, Sete","?",4
2003,1,"Bayliss, Troy","?",5
2003,1,"Edwards, Colin","?",6
2003,1,"Hayden, Nicky","?",7
2003,1,"Barros, Alex","?",8
2003,1,"Nakano, Shinya","?",9
2003,1,"Checa, Carlos","?",10
2003,1,"Abe, Norick","?",11
2003,1,"Haga, Noriyuki","?",12
2003,1,"Hopkins, John","?",13
2003,1,"Roberts Jr, Kenny","?",14
2003,1,"Jacque, Olivier","?",15
2003,1,"Mccoy, Garry","?",16
2003,1,"Pitt, Andrew","?",17
2003,1,"Yanagawa, Akira","?",18
2003,1,"Serizawa, Tamaki","?",19
2003,1,"Ukawa, Tohru","?",20
2003,2,"Gibernau, Sete","?",1
2003,2,"Rossi, Valentino","?",2
2003,2,"Biaggi, Max","?",3
2003,2,"Bayliss, Troy","?",4
2003,2,"Barros, Alex","?",5
2003,2,"Ukawa, Tohru","?",6
2003,2,"Hayden, Nicky","?",7
2003,2,"Abe, Norick","?",8
2003,2,"Checa, Carlos","?",9
2003,2,"Jacque, Olivier","?",10
2003,2,"Nakano, Shinya","?",11
2003,2,"Aoki, Nobuatsu","?",12
2003,2,"Hopkins, John","?",13
2003,2,"Tamada, Makoto","?",14
2003,2,"Roberts Jr, Kenny","?",15
2003,2,"Pitt, Andrew","?",16
2003,2,"Mccoy, Garry","?",17
2003,2,"Edwards, Colin","?",-4
2003,3,"Rossi, Valentino","?",1
2003,3,"Biaggi, Max","?",2
2003,3,"Bayliss, Troy","?",3
2003,3,"Ukawa, Tohru","?",4
2003,3,"Barros, Alex","?",5
2003,3,"Tamada, Makoto","?",6
2003,3,"Hopkins, John","?",7
2003,3,"Nakano, Shinya","?",8
2003,3,"Aoki, Nobuatsu","?",9
2003,3,"Jacque, Olivier","?",10
2003,3,"Haga, Noriyuki","?",11
2003,3,"Mcwilliams, Jeremy","?",12
2003,3,"Roberts Jr, Kenny","?",13
2003,3,"Edwards, Colin","?",14
2003,3,"Pitt, Andrew","?",15
2003,3,"Hofmann, Alex","?",16
2003,3,"Melandri, Marco","?",17
2003,3,"Mccoy, Garry","?",18
2003,4,"Gibernau, Sete","?",1
2003,4,"Rossi, Valentino","?",2
2003,4,"Barros, Alex","?",3
2003,4,"Jacque, Olivier","?",4
2003,4,"Biaggi, Max","?",5
2003,4,"Mcwilliams, Jeremy","?",6
2003,4,"Ukawa, Tohru","?",7
2003,4,"Haga, Noriyuki","?",8
2003,4,"Mccoy, Garry","?",9
2003,4,"Edwards, Colin","?",10
2003,4,"Abe, Norick","?",11
2003,4,"Hayden, Nicky","?",12
2003,4,"Kiyonari, Ryuichi","?",13
2003,4,"Nakano, Shinya","?",14
2003,4,"Melandri, Marco","?",15
2003,4,"Roberts Jr, Kenny","?",16
2003,4,"Capirossi, Loris","?",-4
2003,5,"Rossi, Valentino","?",1
2003,5,"Capirossi, Loris","?",2
2003,5,"Biaggi, Max","?",3
2003,5,"Tamada, Makoto","?",4
2003,5,"Nakano, Shinya","?",5
2003,5,"Ukawa, Tohru","?",6
2003,5,"Gibernau, Sete","?",7
2003,5,"Checa, Carlos","?",8
2003,5,"Edwards, Colin","?",9
2003,5,"Jacque, Olivier","?",10
2003,5,"Melandri, Marco","?",11
2003,5,"Hayden, Nicky","?",12
2003,5,"Kiyonari, Ryuichi","?",13
2003,5,"Hofmann, Alex","?",14
2003,5,"Mccoy, Garry","?",15
2003,5,"Pitt, Andrew","?",16
2003,6,"Capirossi, Loris","?",1
2003,6,"Rossi, Valentino","?",2
2003,6,"Gibernau, Sete","?",3
2003,6,"Checa, Carlos","?",4
2003,6,"Nakano, Shinya","?",5
2003,6,"Ukawa, Tohru","?",6
2003,6,"Tamada, Makoto","?",7
2003,6,"Barros, Alex","?",8
2003,6,"Hayden, Nicky","?",9
2003,6,"Bayliss, Troy","?",10
2003,6,"Kiyonari, Ryuichi","?",11
2003,6,"Haga, Noriyuki","?",12
2003,6,"Melandri, Marco","?",13
2003,6,"Biaggi, Max","?",14
2003,6,"Hopkins, John","?",15
2003,6,"Aoki, Nobuatsu","?",16
2003,6,"Mccoy, Garry","?",17
2003,6,"Pitt, Andrew","?",-4
2003,7,"Gibernau, Sete","?",1
2003,7,"Biaggi, Max","?",2
2003,7,"Rossi, Valentino","?",3
2003,7,"Checa, Carlos","?",4
2003,7,"Jacque, Olivier","?",5
2003,7,"Capirossi, Loris","?",6
2003,7,"Edwards, Colin","?",7
2003,7,"Barros, Alex","?",8
2003,7,"Bayliss, Troy","?",9
2003,7,"Hofmann, Alex","?",10
2003,7,"Hayden, Nicky","?",11
2003,7,"Ukawa, Tohru","?",12
2003,7,"Nakano, Shinya","?",13
2003,7,"Pitt, Andrew","?",14
2003,7,"Hopkins, John","?",15
2003,7,"Tamada, Makoto","?",16
2003,7,"Kiyonari, Ryuichi","?",17
2003,7,"Mccoy, Garry","?",18
2003,8,"Biaggi, Max","?",1
2003,8,"Gibernau, Sete","?",2
2003,8,"Rossi, Valentino","?",3
2003,8,"Capirossi, Loris","?",4
2003,8,"Bayliss, Troy","?",5
2003,8,"Checa, Carlos","?",6
2003,8,"Haga, Noriyuki","?",7
2003,8,"Hayden, Nicky","?",8
2003,8,"Nakano, Shinya","?",9
2003,8,"Edwards, Colin","?",10
2003,8,"Hopkins, John","?",11
2003,8,"Kagayama, Yukio","?",12
2003,8,"Tamada, Makoto","?",13
2003,8,"Kiyonari, Ryuichi","?",14
2003,8,"Aoki, Nobuatsu","?",15
2003,8,"Mccoy, Garry","?",16
2003,8,"Pitt, Andrew","?",17
2003,8,"Ukawa, Tohru","?",-4
2003,9,"Gibernau, Sete","?",1
2003,9,"Rossi, Valentino","?",2
2003,9,"Bayliss, Troy","?",3
2003,9,"Capirossi, Loris","?",4
2003,9,"Hayden, Nicky","?",5
2003,9,"Ukawa, Tohru","?",6
2003,9,"Nakano, Shinya","?",7
2003,9,"Checa, Carlos","?",8
2003,9,"Jacque, Olivier","?",9
2003,9,"Abe, Norick","?",10
2003,9,"Aoki, Nobuatsu","?",11
2003,9,"Mcwilliams, Jeremy","?",12
2003,9,"Tamada, Makoto","?",13
2003,9,"Edwards, Colin","?",14
2003,9,"Roberts Jr, Kenny","?",15
2003,9,"Mccoy, Garry","?",16
2003,9,"Hofmann, Alex","?",17
2003,9,"Kiyonari, Ryuichi","?",18
2003,9,"Pitt, Andrew","?",19
2003,9,"De Gea, David","?",20
2003,10,"Rossi, Valentino","?",1
2003,10,"Gibernau, Sete","?",2
2003,10,"Bayliss, Troy","?",3
2003,10,"Checa, Carlos","?",4
2003,10,"Biaggi, Max","?",5
2003,10,"Hayden, Nicky","?",6
2003,10,"Barros, Alex","?",7
2003,10,"Ukawa, Tohru","?",8
2003,10,"Tamada, Makoto","?",9
2003,10,"Melandri, Marco","?",10
2003,10,"Jacque, Olivier","?",11
2003,10,"Edwards, Colin","?",12
2003,10,"Haga, Noriyuki","?",13
2003,10,"Nakano, Shinya","?",14
2003,10,"Kiyonari, Ryuichi","?",15
2003,10,"Pitt, Andrew","?",16
2003,10,"Hopkins, John","?",17
2003,10,"Mccoy, Garry","?",18
2003,10,"Hofmann, Alex","?",19
2003,10,"Roberts Jr, Kenny","?",20
2003,10,"De Gea, David","?",-2
2003,11,"Rossi, Valentino","?",1
2003,11,"Biaggi, Max","?",2
2003,11,"Capirossi, Loris","?",3
2003,11,"Gibernau, Sete","?",4
2003,11,"Ukawa, Tohru","?",5
2003,11,"Bayliss, Troy","?",6
2003,11,"Melandri, Marco","?",7
2003,11,"Checa, Carlos","?",8
2003,11,"Hayden, Nicky","?",9
2003,11,"Tamada, Makoto","?",10
2003,11,"Barros, Alex","?",11
2003,11,"Nakano, Shinya","?",12
2003,11,"Jacque, Olivier","?",13
2003,11,"Edwards, Colin","?",14
2003,11,"Haga, Noriyuki","?",15
2003,11,"Kiyonari, Ryuichi","?",16
2003,11,"Roberts Jr, Kenny","?",17
2003,11,"Hopkins, John","?",18
2003,11,"Mcwilliams, Jeremy","?",19
2003,11,"Aoki, Nobuatsu","?",20
2003,11,"Pitt, Andrew","?",21
2003,11,"De Gea, David","?",22
2003,11,"Burns, Chris","?",-2
2003,12,"Rossi, Valentino","?",1
2003,12,"Gibernau, Sete","?",2
2003,12,"Tamada, Makoto","?",3
2003,12,"Biaggi, Max","?",4
2003,12,"Hayden, Nicky","?",5
2003,12,"Capirossi, Loris","?",6
2003,12,"Ukawa, Tohru","?",7
2003,12,"Nakano, Shinya","?",8
2003,12,"Checa, Carlos","?",9
2003,12,"Bayliss, Troy","?",10
2003,12,"Melandri, Marco","?",11
2003,12,"Barros, Alex","?",12
2003,12,"Edwards, Colin","?",13
2003,12,"Haga, Noriyuki","?",14
2003,12,"Kiyonari, Ryuichi","?",15
2003,12,"Mcwilliams, Jeremy","?",16
2003,12,"Roberts Jr, Kenny","?",17
2003,12,"Pitt, Andrew","?",18
2003,12,"De Gea, David","?",19
2003,13,"Biaggi, Max","?",1
2003,13,"Rossi, Valentino","?",2
2003,13,"Hayden, Nicky","?",3
2003,13,"Gibernau, Sete","?",4
2003,13,"Melandri, Marco","?",5
2003,13,"Barros, Alex","?",6
2003,13,"Ukawa, Tohru","?",7
2003,13,"Capirossi, Loris","?",8
2003,13,"Nakano, Shinya","?",9
2003,13,"Ryo, Akira","?",10
2003,13,"Kiyonari, Ryuichi","?",11
2003,13,"Haga, Noriyuki","?",12
2003,13,"Jacque, Olivier","?",13
2003,13,"Aoki, Nobuatsu","?",14
2003,13,"Roberts Jr, Kenny","?",15
2003,13,"Pitt, Andrew","?",16
2003,13,"Edwards, Colin","?",17
2003,13,"Serizawa, Tamaki","?",18
2003,13,"De Gea, David","?",19
2003,13,"Tamada, Makoto","?",-5
2003,14,"Rossi, Valentino","?",1
2003,14,"Gibernau, Sete","?",2
2003,14,"Biaggi, Max","?",3
2003,14,"Hayden, Nicky","?",4
2003,14,"Checa, Carlos","?",5
2003,14,"Capirossi, Loris","?",6
2003,14,"Ukawa, Tohru","?",7
2003,14,"Nakano, Shinya","?",8
2003,14,"Bayliss, Troy","?",9
2003,14,"Tamada, Makoto","?",10
2003,14,"Melandri, Marco","?",11
2003,14,"Haga, Noriyuki","?",12
2003,14,"Edwards, Colin","?",13
2003,14,"Roberts Jr, Kenny","?",14
2003,14,"Barros, Alex","?",15
2003,14,"Pitt, Andrew","?",16
2003,14,"Mcwilliams, Jeremy","?",17
2003,14,"Aoki, Nobuatsu","?",18
2003,14,"Mccoy, Garry","?",19
2003,14,"Ryo, Akira","?",20
2003,14,"Kiyonari, Ryuichi","?",21
2003,14,"Jacque, Olivier","?",-2
2003,15,"Rossi, Valentino","?",1
2003,15,"Capirossi, Loris","?",2
2003,15,"Hayden, Nicky","?",3
2003,15,"Gibernau, Sete","?",4
2003,15,"Ukawa, Tohru","?",5
2003,15,"Jacque, Olivier","?",6
2003,15,"Nakano, Shinya","?",7
2003,15,"Checa, Carlos","?",8
2003,15,"Roberts Jr, Kenny","?",9
2003,15,"Tamada, Makoto","?",10
2003,15,"Mcwilliams, Jeremy","?",11
2003,15,"Hopkins, John","?",12
2003,15,"Mccoy, Garry","?",13
2003,15,"Haga, Noriyuki","?",14
2003,15,"Pitt, Andrew","?",15
2003,15,"Edwards, Colin","?",16
2003,15,"Biaggi, Max","?",17
2003,15,"Aoki, Nobuatsu","?",18
2003,15,"Kiyonari, Ryuichi","?",19
2003,15,"Burns, Chris","?",20
2003,15,"De Gea, David","?",-4
2003,16,"Rossi, Valentino","?",1
2003,16,"Gibernau, Sete","?",2
2003,16,"Capirossi, Loris","?",3
2003,16,"Biaggi, Max","?",4
2003,16,"Checa, Carlos","?",5
2003,16,"Barros, Alex","?",6
2003,16,"Bayliss, Troy","?",7
2003,16,"Edwards, Colin","?",8
2003,16,"Abe, Norick","?",9
2003,16,"Tamada, Makoto","?",10
2003,16,"Roberts Jr, Kenny","?",11
2003,16,"Mcwilliams, Jeremy","?",12
2003,16,"Hopkins, John","?",13
2003,16,"Kiyonari, Ryuichi","?",14
2003,16,"Haga, Noriyuki","?",15
2003,16,"Hayden, Nicky","?",16
2003,16,"Aoki, Nobuatsu","?",17
2003,16,"Pitt, Andrew","?",18
2003,16,"Mccoy, Garry","?",19
2003,16,"De Gea, David","?",20
2004,1,"Rossi, Valentino","?",1
2004,1,"Biaggi, Max","?",2
2004,1,"Gibernau, Sete","?",3
2004,1,"Barros, Alex","?",4
2004,1,"Hayden, Nicky","?",5
2004,1,"Capirossi, Loris","?",6
2004,1,"Edwards, Colin","?",7
2004,1,"Tamada, Makoto","?",8
2004,1,"Abe, Norick","?",9
2004,1,"Checa, Carlos","?",10
2004,1,"Melandri, Marco","?",11
2004,1,"Nakano, Shinya","?",12
2004,1,"Hopkins, John","?",13
2004,1,"Bayliss, Troy","?",14
2004,1,"Byrne, Shane","?",15
2004,1,"Mcwilliams, Jeremy","?",16
2004,1,"Aoki, Nobuatsu","?",17
2004,1,"Fabrizio, Michel","?",18
2004,2,"Gibernau, Sete","?",1
2004,2,"Biaggi, Max","?",2
2004,2,"Barros, Alex","?",3
2004,2,"Rossi, Valentino","?",4
2004,2,"Hayden, Nicky","?",5
2004,2,"Checa, Carlos","?",6
2004,2,"Edwards, Colin","?",7
2004,2,"Roberts Jr, Kenny","?",8
2004,2,"Nakano, Shinya","?",9
2004,2,"Fabrizio, Michel","?",10
2004,2,"Abe, Norick","?",11
2004,2,"Capirossi, Loris","?",12
2004,2,"Hofmann, Alex","?",13
2004,2,"Aoki, Nobuatsu","?",14
2004,2,"Hopkins, John","?",15
2004,2,"Byrne, Shane","?",-4
2004,3,"Gibernau, Sete","?",1
2004,3,"Checa, Carlos","?",2
2004,3,"Biaggi, Max","?",3
2004,3,"Rossi, Valentino","?",4
2004,3,"Edwards, Colin","?",5
2004,3,"Melandri, Marco","?",6
2004,3,"Barros, Alex","?",7
2004,3,"Bayliss, Troy","?",8
2004,3,"Tamada, Makoto","?",9
2004,3,"Capirossi, Loris","?",10
2004,3,"Hayden, Nicky","?",11
2004,3,"Roberts Jr, Kenny","?",12
2004,3,"Mcwilliams, Jeremy","?",13
2004,3,"Xaus, Ruben","?",14
2004,3,"Roberts, Kurtis","?",15
2004,3,"Fabrizio, Michel","?",16
2004,3,"Aoki, Nobuatsu","?",17
2004,3,"Hopkins, John","?",-4
2004,5,"Rossi, Valentino","?",1
2004,5,"Gibernau, Sete","?",2
2004,5,"Melandri, Marco","?",3
2004,5,"Checa, Carlos","?",4
2004,5,"Edwards, Colin","?",5
2004,5,"Xaus, Ruben","?",6
2004,5,"Nakano, Shinya","?",7
2004,5,"Biaggi, Max","?",8
2004,5,"Abe, Norick","?",9
2004,5,"Capirossi, Loris","?",10
2004,5,"Hofmann, Alex","?",11
2004,5,"Hodgson, Neil","?",12
2004,5,"Byrne, Shane","?",13
2004,5,"Pitt, Andrew","?",14
2004,5,"Aoki, Nobuatsu","?",15
2004,5,"Fabrizio, Michel","?",16
2004,5,"Roberts Jr, Kenny","?",17
2004,5,"Burns, Chris","?",18
2004,5,"Mcwilliams, Jeremy","?",-2
2004,6,"Rossi, Valentino","?",1
2004,6,"Gibernau, Sete","?",2
2004,6,"Melandri, Marco","?",3
2004,6,"Biaggi, Max","?",4
2004,6,"Hayden, Nicky","?",5
2004,6,"Edwards, Colin","?",6
2004,6,"Xaus, Ruben","?",7
2004,6,"Capirossi, Loris","?",8
2004,6,"Checa, Carlos","?",9
2004,6,"Hodgson, Neil","?",10
2004,6,"Abe, Norick","?",11
2004,6,"Tamada, Makoto","?",12
2004,6,"Hofmann, Alex","?",13
2004,6,"Hopkins, John","?",14
2004,6,"Mcwilliams, Jeremy","?",15
2004,6,"Roberts Jr, Kenny","?",16
2004,6,"Burns, Chris","?",17
2004,7,"Tamada, Makoto","?",1
2004,7,"Biaggi, Max","?",2
2004,7,"Hayden, Nicky","?",3
2004,7,"Capirossi, Loris","?",4
2004,7,"Barros, Alex","?",5
2004,7,"Edwards, Colin","?",6
2004,7,"Roberts Jr, Kenny","?",7
2004,7,"Abe, Norick","?",8
2004,7,"Nakano, Shinya","?",9
2004,7,"Checa, Carlos","?",10
2004,7,"Hofmann, Alex","?",11
2004,7,"Xaus, Ruben","?",12
2004,7,"Melandri, Marco","?",13
2004,7,"Mcwilliams, Jeremy","?",14
2004,7,"Hopkins, John","?",15
2004,7,"Hodgson, Neil","?",16
2004,7,"Byrne, Shane","?",17
2004,7,"Aoki, Nobuatsu","?",18
2004,7,"Roberts, Kurtis","?",19
2004,7,"Burns, Chris","?",20
2004,8,"Biaggi, Max","?",1
2004,8,"Barros, Alex","?",2
2004,8,"Hayden, Nicky","?",3
2004,8,"Rossi, Valentino","?",4
2004,8,"Edwards, Colin","?",5
2004,8,"Tamada, Makoto","?",6
2004,8,"Nakano, Shinya","?",7
2004,8,"Roberts Jr, Kenny","?",8
2004,8,"Hopkins, John","?",9
2004,8,"Hofmann, Alex","?",10
2004,8,"Xaus, Ruben","?",11
2004,8,"Mcwilliams, Jeremy","?",12
2004,8,"Hodgson, Neil","?",13
2004,8,"Byrne, Shane","?",14
2004,8,"Fabrizio, Michel","?",15
2004,8,"Burns, Chris","?",16
2004,9,"Rossi, Valentino","?",1
2004,9,"Edwards, Colin","?",2
2004,9,"Gibernau, Sete","?",3
